资源表,资源排序,是否仪表盘主记录,CTA总点击量,关键事件触发次数,CTA点击率,独立访客数,solution页面总访问量,官网总访问量,社媒总曝光量,周次,增长最快solution,关键事件转化率,建议动作,更新时间,落地页访问量,CTA点击量,solution名称,主要流量来源,参与率,会话数,最新周次,数据状态,平均停留时长,分析结论,表单提交,页面->CTA转化率,表单提交(leads),销售跟进数,页面访问量,一键加购,CTA->表单转化率,点击数,转化数,周期结束,最佳内容类型,平台,周期开始,发帖数,网站会话数,互动率,备注,互动数,曝光|播放,建议UTM渠道参数,转化率,评论,判断结论,统计周期结束,分享|收藏,点赞,点击率,发布日期,链接|素材,内容类型,统计周期开始,下次动作
02_单方案流量明细,01-0007,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0008,否,,0,,4,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,14,GA4未发现可验证CTA事件,智能畜牧养殖,Direct,1.000000,4,2026-06-29,有GA4页面数据,3.50,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0009,否,,0,,4,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,19,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,1.000000,4,2026-06-29,有GA4页面数据,135.25,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0010,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,校园安全管理,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0011,否,,0,,3,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,6,GA4未发现可验证CTA事件,应急响应,Unassigned,0.666667,3,2026-06-29,有GA4页面数据,6.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0012,否,,0,,18,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,36,GA4未发现可验证CTA事件,楼宇能源管理,Direct,1.000000,18,2026-06-29,有GA4页面数据,7.39,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0013,否,,111,,3105,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,7749,GA4未发现可验证CTA事件,语音采集与分析,Email,0.844649,3373,2026-07-06,有GA4页面数据,33.47,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0014,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-06,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-07-06,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0015,否,,0,,12,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,25,GA4未发现可验证CTA事件,智能视频分析,Paid Search,1.000000,14,2026-07-06,有GA4页面数据,23.86,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0016,否,,0,,167,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,362,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.931429,175,2026-07-06,有GA4页面数据,35.08,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0017,否,,128,,1813,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,4927,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.860154,1945,2026-07-06,有GA4页面数据,24.76,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0018,否,,0,,31,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,50,GA4未发现可验证CTA事件,环境监测,Direct,0.909091,33,2026-07-06,有GA4页面数据,17.48,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0019,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-06,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-07-06,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0020,否,,0,,1,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,6,GA4未发现可验证CTA事件,智能畜牧养殖,Organic Search,1.000000,1,2026-07-06,有GA4页面数据,8.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0021,否,,0,,2,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,7,GA4未发现可验证CTA事件,智慧农业传感,Direct,1.000000,2,2026-07-06,有GA4页面数据,18.50,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0022,否,,0,,3,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,17,GA4未发现可验证CTA事件,校园安全管理,Unassigned,1.000000,3,2026-07-06,有GA4页面数据,40.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0023,否,,0,,7,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,25,GA4未发现可验证CTA事件,应急响应,Referral,1.000000,8,2026-07-06,有GA4页面数据,66.37,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0024,否,,0,,8,,,,,,,按渠道/CTA/表单继续拆解,2026-07-06,15,GA4未发现可验证CTA事件,楼宇能源管理,Direct,1.000000,8,2026-07-06,有GA4页面数据,9.62,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0025,否,,61,,1487,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,4078,GA4未发现可验证CTA事件,语音采集与分析,Direct,0.909203,1619,2026-07-13,有GA4页面数据,32.43,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0026,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0027,否,,0,,16,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,36,GA4未发现可验证CTA事件,智能视频分析,Direct,0.842105,19,2026-07-13,有GA4页面数据,9.58,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0028,否,,0,,167,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,378,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.912568,183,2026-07-13,有GA4页面数据,32.02,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0029,否,,107,,1883,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,5080,GA4未发现可验证CTA事件,对话式语音 AI,Unassigned,0.856359,2005,2026-07-13,有GA4页面数据,23.13,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0030,否,,1,,37,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,74,GA4未发现可验证CTA事件,环境监测,Paid Search,0.974359,39,2026-07-13,有GA4页面数据,19.97,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0031,否,,0,,1,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,1.000000,3,2026-07-13,有GA4页面数据,0.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0032,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智能畜牧养殖,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0033,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0034,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,校园安全管理,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0035,否,,0,,2,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,应急响应,Direct,1.000000,2,2026-07-13,有GA4页面数据,142.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0036,否,,0,,1,,,,,,,按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,楼宇能源管理,Unassigned,1.000000,3,2026-07-13,有GA4页面数据,0.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0037,否,,58,,1330,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,3696,GA4未发现可验证CTA事件,语音采集与分析,Direct,0.932498,1437,2026-07-20,有GA4页面数据,33.53,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0038,否,,0,,2,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,6,GA4未发现可验证CTA事件,智能仓储管理,Paid Search,1.000000,2,2026-07-20,有GA4页面数据,2.50,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0039,否,,0,,12,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,20,GA4未发现可验证CTA事件,智能视频分析,Direct,0.785714,14,2026-07-20,有GA4页面数据,20.64,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0040,否,,1,,145,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,361,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.892405,158,2026-07-20,有GA4页面数据,133.78,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0041,否,,109,,1481,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,4164,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.906348,1591,2026-07-20,有GA4页面数据,26.34,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0042,否,,0,,34,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,64,GA4未发现可验证CTA事件,环境监测,Organic Search,0.916667,36,2026-07-20,有GA4页面数据,24.44,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0043,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0044,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,智能畜牧养殖,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0045,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0046,否,,0,,2,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,9,GA4未发现可验证CTA事件,校园安全管理,Organic Search,1.000000,2,2026-07-20,有GA4页面数据,2.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0047,否,,0,,7,,,,,,,按渠道/CTA/表单继续拆解,2026-07-20,18,GA4未发现可验证CTA事件,应急响应,Organic Search,0.714286,7,2026-07-20,有GA4页面数据,8.00,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0048,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,楼宇能源管理,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0001,否,,,,,,,,,,,,,,,语音采集与分析,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,7896,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0002,否,,,,,,,,,,,,,,,智能仓储管理,,,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0003,否,,,,,,,,,,,,,,,智能视频分析,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0004,否,,,,,,,,,,,,,,,室内外定位,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0005,否,,,,,,,,,,,,,,,对话式语音 AI,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,3616,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0006,否,,,,,,,,,,,,,,,环境监测,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0007,否,,,,,,,,,,,,,,,楼宇能源改造,,,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0008,否,,,,,,,,,,,,,,,智能畜牧养殖,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0009,否,,,,,,,,,,,,,,,智慧农业传感,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0010,否,,,,,,,,,,,,,,,校园安全管理,,,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0011,否,,,,,,,,,,,,,,,应急响应,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0012,否,,,,,,,,,,,,,,,楼宇能源管理,,,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0013,否,,,,,,,,,,,,,,,语音采集与分析,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,7749,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0014,否,,,,,,,,,,,,,,,智能仓储管理,,,,2026-07-06,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0015,否,,,,,,,,,,,,,,,智能视频分析,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0016,否,,,,,,,,,,,,,,,室内外定位,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0017,否,,,,,,,,,,,,,,,对话式语音 AI,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,4927,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0018,否,,,,,,,,,,,,,,,环境监测,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0019,否,,,,,,,,,,,,,,,楼宇能源改造,,,,2026-07-06,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0020,否,,,,,,,,,,,,,,,智能畜牧养殖,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0021,否,,,,,,,,,,,,,,,智慧农业传感,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0022,否,,,,,,,,,,,,,,,校园安全管理,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0023,否,,,,,,,,,,,,,,,应急响应,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0024,否,,,,,,,,,,,,,,,楼宇能源管理,,,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0025,否,,,,,,,,,,,,,,,语音采集与分析,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,4078,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0026,否,,,,,,,,,,,,,,,智能仓储管理,,,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0027,否,,,,,,,,,,,,,,,智能视频分析,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0028,否,,,,,,,,,,,,,,,室内外定位,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0029,否,,,,,,,,,,,,,,,对话式语音 AI,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,5080,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0030,否,,,,,,,,,,,,,,,环境监测,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0031,否,,,,,,,,,,,,,,,楼宇能源改造,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0032,否,,,,,,,,,,,,,,,智能畜牧养殖,,,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0033,否,,,,,,,,,,,,,,,智慧农业传感,,,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0034,否,,,,,,,,,,,,,,,校园安全管理,,,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0035,否,,,,,,,,,,,,,,,应急响应,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0036,否,,,,,,,,,,,,,,,楼宇能源管理,,,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0037,否,,,,,,,,,,,,,,,语音采集与分析,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,3696,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0038,否,,,,,,,,,,,,,,,智能仓储管理,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0039,否,,,,,,,,,,,,,,,智能视频分析,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0040,否,,,,,,,,,,,,,,,室内外定位,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
