建议动作,更新时间,落地页访问量,CTA点击量,solution名称,主要流量来源,参与率,会话数,最新周次,数据状态,平均停留时长,独立访客数,关键事件触发次数,分析结论,表单提交
确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-07-13,36,GA4未发现可验证CTA事件,智能视频分析,Direct,0.842105,19,2026-07-13,有GA4页面数据,9.58,16,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-13,378,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.912568,183,2026-07-13,有GA4页面数据,32.02,167,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-13,5080,GA4未发现可验证CTA事件,对话式语音 AI,Unassigned,0.856359,2005,2026-07-13,有GA4页面数据,23.13,1883,107,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-07-13,74,GA4未发现可验证CTA事件,环境监测,Paid Search,0.974359,39,2026-07-13,有GA4页面数据,19.97,37,1,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,1.000000,3,2026-07-13,有GA4页面数据,0.00,1,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智能畜牧养殖,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
确认页面埋点和 GA4 property,2026-07-13,0,GA4未发现可验证CTA事件,校园安全管理,Unassigned,0.000000,0,2026-07-13,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,应急响应,Direct,1.000000,2,2026-07-13,有GA4页面数据,142.00,2,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-13,9,GA4未发现可验证CTA事件,楼宇能源管理,Unassigned,1.000000,3,2026-07-13,有GA4页面数据,0.00,1,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-20,3696,GA4未发现可验证CTA事件,语音采集与分析,Direct,0.932498,1437,2026-07-20,有GA4页面数据,33.53,1330,58,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-07-20,6,GA4未发现可验证CTA事件,智能仓储管理,Paid Search,1.000000,2,2026-07-20,有GA4页面数据,2.50,2,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-20,20,GA4未发现可验证CTA事件,智能视频分析,Direct,0.785714,14,2026-07-20,有GA4页面数据,20.64,12,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-20,361,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.892405,158,2026-07-20,有GA4页面数据,133.78,145,1,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-20,4164,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.906348,1591,2026-07-20,有GA4页面数据,26.34,1481,109,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-07-20,64,GA4未发现可验证CTA事件,环境监测,Organic Search,0.916667,36,2026-07-20,有GA4页面数据,24.44,34,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,智能畜牧养殖,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-07-20,9,GA4未发现可验证CTA事件,校园安全管理,Organic Search,1.000000,2,2026-07-20,有GA4页面数据,2.00,2,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-20,18,GA4未发现可验证CTA事件,应急响应,Organic Search,0.714286,7,2026-07-20,有GA4页面数据,8.00,7,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-07-20,0,GA4未发现可验证CTA事件,楼宇能源管理,Unassigned,0.000000,0,2026-07-20,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
