周次,周范围,周期开始,周期结束,页面路径,页面标题,浏览量,用户数,会话数,参与率,跳出率,平均互动秒,关键事件触发次数,转化数,主要事件,页面类型/内容主题,业务判断,建议动作
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/ReSpeaker-Lite-Voice-Assistant-Kit-p-5929.html,"reSpeaker Lite 2-Mic Array Voice Kit, Compatible with ESPHome",2341,747,794,91.69%,8.31%,26.86,41,41,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/sensecap-t1000-tracker,"SenseCAP T1000 LoRaWAN GPS Tracker Utilizing GNSS, WiFi, BLE for Outdoor and Indoor RTLS Positioning",198,107,113,91.15%,8.85%,27.47,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Positioning-Tracker-c-2495.html,Positioning/Tracker,111,45,47,95.74%,4.26%,42.11,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/respeaker-clip-wearable-ai-recorder.html,"Seeed Studio Bazaar, The IoT Hardware enabler.",82,26,26,100.00%,0.00%,4.23,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/solutions-by-scenarios,Solutions by Scenarios,82,43,45,95.56%,4.44%,23.93,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Positioning-Tracker-c-2495.html,Bazaar,53,15,15,100.00%,0.00%,70.40,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Environment-Monitoring-c-2535.html,Environment Monitoring - Sensors & Actuators - Home Assistant,38,23,24,95.83%,4.17%,20.62,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Mission-Pack.html,Hazard Response Mission Pack,24,6,6,100.00%,0.00%,62.83,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/lorawan-safety-badge,LoRaWAN Smart Safety Badge | Emergency Alert & Panic Button for Real-Time Tracking,17,3,3,100.00%,0.00%,40.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Energy-Shield.html,Energy Shield - Seeed Studio,15,8,8,100.00%,0.00%,9.62,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/intelligent-video-analytics,Intelligent Video Analytics,15,6,7,100.00%,0.00%,29.29,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/industries/environment-monitoring,Environment monitoring - solution,11,6,7,85.71%,14.29%,11.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/solutions/intelligent-video-analytics,Intelligent Video Analytics - solution,10,6,7,100.00%,0.00%,18.43,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Wireless-Smart-Agriculture-Kit-Outdoor-p-4950.html,Wireless Smart Agriculture Kit – Outdoor - Seeed Studio,7,2,2,100.00%,0.00%,18.50,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Farming-Environment-Monitoring.html,Farming Environment Monitoring,6,1,1,100.00%,0.00%,8.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/blog/environment-monitoring/,ENVIRONMENT MONITORING - Latest News from Seeed Studio,1,1,1,0.00%,100.00%,0.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/blog/2023/11/29/hazard-response-mission-pack-october-workshops-recap/,Hazard Response Mission Pack: October Workshops Recap - Latest News from Seeed Studio,1,1,2,100.00%,0.00%,77.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/solutions-by-scenarios,Lösungen durch Szenarien,0,1,1,100.00%,0.00%,25.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/respeaker-clip-wearable-ai-recorder.html,reSpeaker Clip: Open Wearable AI Recorder | Voice AI Agent | AI Note Taker,4078,1487,1619,90.92%,9.08%,32.43,61,61,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/Home-Assistant-Voice-p-6998.html,Home Assistant Voice Preview Edition,2665,1082,1160,79.83%,20.17%,21.12,81,81,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/ReSpeaker-Lite-Voice-Assistant-Kit-p-5929.html,"reSpeaker Lite 2-Mic Array Voice Kit, Compatible with ESPHome",2415,801,845,93.61%,6.39%,25.89,26,26,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/sensecap-t1000-tracker,"SenseCAP T1000 LoRaWAN GPS Tracker Utilizing GNSS, WiFi, BLE for Outdoor and Indoor RTLS Positioning",170,87,100,86.00%,14.00%,33.17,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/Positioning-Tracker-c-2495.html,Positioning/Tracker,155,67,70,97.14%,2.86%,27.50,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/solutions-by-scenarios,Solutions by Scenarios,102,54,57,91.23%,8.77%,24.24,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/Environment-Monitoring-c-2535.html,Environment Monitoring - Sensors & Actuators - Home Assistant,61,29,31,100.00%,0.00%,22.19,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/Positioning-Tracker-c-2495.html,Bazaar,53,13,13,100.00%,0.00%,47.46,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/solutions/intelligent-video-analytics,Intelligent Video Analytics - solution,20,10,10,100.00%,0.00%,9.40,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/intelligent-video-analytics,Intelligent Video Analytics,16,6,9,66.67%,33.33%,9.78,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/industries/environment-monitoring,Environment monitoring - solution,11,6,6,100.00%,0.00%,11.17,1,1,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/blog/2024/05/14/introducing-recomputer-r1000-an-industrial-edge-iot-gateway-powered-by-raspberry-pi-ideal-for-smart-building-and-energy-management/,"Introducing reComputer R1000: An Industrial Edge IoT Gateway Powered by Raspberry Pi, Ideal for Smart Building and Energy Management - Latest News from Seeed Studio",9,1,3,100.00%,0.00%,0.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/Mission-Pack.html,Hazard Response Mission Pack,7,1,1,100.00%,0.00%,70.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/blog/environment-monitoring/,ENVIRONMENT MONITORING - Latest News from Seeed Studio,2,2,2,50.00%,50.00%,12.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,/blog/2023/11/29/hazard-response-mission-pack-october-workshops-recap/,Hazard Response Mission Pack: October Workshops Recap - Latest News from Seeed Studio,2,1,1,100.00%,0.00%,214.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/respeaker-clip-wearable-ai-recorder.html,reSpeaker Clip: Open Wearable AI Recorder | Voice AI Agent | AI Note Taker,3696,1330,1437,93.25%,6.75%,33.53,58,58,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Home-Assistant-Voice-p-6998.html,Home Assistant Voice Preview Edition,2493,938,1015,90.15%,9.85%,25.33,71,71,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/ReSpeaker-Lite-Voice-Assistant-Kit-p-5929.html,"reSpeaker Lite 2-Mic Array Voice Kit, Compatible with ESPHome",1671,543,576,91.49%,8.51%,28.12,38,38,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/sensecap-t1000-tracker,"SenseCAP T1000 LoRaWAN GPS Tracker Utilizing GNSS, WiFi, BLE for Outdoor and Indoor RTLS Positioning",146,74,79,79.75%,20.25%,29.47,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Positioning-Tracker-c-2495.html,Positioning/Tracker,118,51,57,98.25%,1.75%,314.19,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Positioning-Tracker-c-2495.html,Bazaar,97,20,22,100.00%,0.00%,40.91,1,1,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/solutions-by-scenarios,Solutions by Scenarios,57,28,29,89.66%,10.34%,21.24,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Environment-Monitoring-c-2535.html,Environment Monitoring - Sensors & Actuators - Home Assistant,53,29,31,90.32%,9.68%,24.10,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Mission-Pack.html,Hazard Response Mission Pack,17,6,6,83.33%,16.67%,9.33,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/solutions/intelligent-video-analytics,Intelligent Video Analytics - solution,17,10,11,81.82%,18.18%,23.45,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/lorawan-safety-badge,LoRaWAN Smart Safety Badge | Emergency Alert & Panic Button for Real-Time Tracking,9,2,2,100.00%,0.00%,2.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/industries/environment-monitoring,Environment monitoring - solution,7,4,4,100.00%,0.00%,29.75,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/solutions/smart-warehouse-management,404 Page not found,6,2,2,100.00%,0.00%,2.50,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/Environment-Monitoring-c-2535.html,Bazaar,4,1,1,100.00%,0.00%,14.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/solutions-by-scenarios,更多场景划分的解决方案,2,1,1,100.00%,0.00%,22.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,/intelligent-video-analytics,Intelligent Video Analytics,2,1,1,100.00%,0.00%,29.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
